congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
109,2,279 (79-9),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00279,Agreed to,"On the Motion: Motion to Concur in the House Amendment to the Senate Amendment to H.R. 6111; An act to amend the Internal Revenue Code of 1986 to extend expiring provisions, and for other purposes.","",,H.R. 6111,http://hdl.loc.gov/loc.uscongress/legislation.109hr6111,Dec 09
109,2,278 (78-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00278,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amdt. to Senate Amdt. to H.R. 6111; An act to amend the Internal Revenue Code of 1986 to extend expiring provisions, and for other purposes.","",,H.R. 6111,http://hdl.loc.gov/loc.uscongress/legislation.109hr6111,Dec 09
109,2,277 (67-21),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00277,Agreed to,"On the Motion: Motion to Waive CBA Re: Motion to Concur in House Amendment to the Senate Amendment to H.R.6111.; An act to amend the Internal Revenue Code of 1986 to extend expiring provisions, and for other purposes.","",,H.R. 6111,http://hdl.loc.gov/loc.uscongress/legislation.109hr6111,Dec 09
109,2,275 (93-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00275,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Kent A. Jordan of Delaware to be U.S. Circuit Judge,"",,PN1746,https://www.congress.gov/nomination/109th-congress/1746,Dec 08
109,2,273 (89-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00273,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Andrew von Eschenbach, of Texas, to be Commissioner of Food and Drugs","",,PN1396,https://www.congress.gov/nomination/109th-congress/1396,Dec 07
109,2,264 (95-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00264,Agreed to,"On the Motion: Motion to Instruct Sgt. At Arms; An act making appropriations for Military Construction and Veterans Affairs, and Related Agencies for the fiscal year ending September 30, 2007, and for other purposes.","",,H.R. 5385,http://hdl.loc.gov/loc.uscongress/legislation.109hr5385,Nov 14
109,2,261 (100-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00261,Agreed to,"On the Conference Report: H.R.5631 Conference Report; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2007, and for other purposes.","",,H.R. 5631,http://hdl.loc.gov/loc.uscongress/legislation.109hr5631,Sep 29
109,2,260 (71-28),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00260,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on H.R. 6061; A bill to establish operational control over the international land and maritime borders of the United States.,"",,H.R. 6061,http://hdl.loc.gov/loc.uscongress/legislation.109hr6061,Sep 28
109,2,252 (94-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00252,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Motion to Proceed to H.R. 6061; A bill to establish operational control over the international land and maritime borders of the United States.,"",,H.R. 6061,http://hdl.loc.gov/loc.uscongress/legislation.109hr6061,Sep 20
109,2,248 (61-37),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00248,Agreed to,On the Motion to Table S.Amdt. 4930: Motion to Table Schumer Amdt. No. 4930; To improve maritime container security by ensuring that foreign ports participating in the Container Security Initiative scan all containers shipped to the United States for nuclear and radiological weapons before loading.,S.Amdt. 4930,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4930,H.R. 4954,http://hdl.loc.gov/loc.uscongress/legislation.109hr4954,Sep 14
109,2,247 (98-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00247,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on H.R.4954; A bill to improve maritime and cargo security through enhanced layered defenses, and for other purposes.","",,H.R. 4954,http://hdl.loc.gov/loc.uscongress/legislation.109hr4954,Sep 14
109,2,245 (95-3),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00245,Agreed to,"On the Amendment S.Amdt. 4982: Coleman Amdt. No. 4982; To require the Secretary of Homeland Security to ensure that all cargo containers are screened before arriving at a United States seaport, that all high-risk containers are scanned before leaving a United States seaport, and that integrated scanning systems are fully deployed to scan all cargo containers entering the United States before they arrive in the United States.",S.Amdt. 4982,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4982,H.R. 4954,http://hdl.loc.gov/loc.uscongress/legislation.109hr4954,Sep 13
109,2,244 (57-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00244,Agreed to,"On the Motion S.Amdt. 4975: Motion to Table Biden Amdt. No. 4975; To establish a Homeland Security and Neighborhood Safety trust Fund and refocus Federal priorities toward securing the Homeland, and for other purposes.",S.Amdt. 4975,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4975,H.R. 4954,http://hdl.loc.gov/loc.uscongress/legislation.109hr4954,Sep 13
109,2,242 (97-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00242,Agreed to,On the Amendment S.Amdt. 4931: Hutchison Amdt. No. 4931; To strengthen national security by adding an additional 275 Customs and Border Protection officers at United States ports.,S.Amdt. 4931,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4931,H.R. 4954,http://hdl.loc.gov/loc.uscongress/legislation.109hr4954,Sep 12
109,2,241 (85-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00241,Agreed to,"On the Amendment S.Amdt. 4940: Lautenberg Amdt. No. 4940; To provide that the limitation on the number of Transportation Security Administration employees shall not apply after the date of enactment of this Act, and for other purposes.",S.Amdt. 4940,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4940,H.R. 4954,http://hdl.loc.gov/loc.uscongress/legislation.109hr4954,Sep 12
109,2,240 (95-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00240,Agreed to,"On the Amendment S.Amdt. 4921: DeMint Amdt. No. 4921 As Amended; To establish a unified national hazard alert system, and for other purposes.",S.Amdt. 4921,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4921,H.R. 4954,http://hdl.loc.gov/loc.uscongress/legislation.109hr4954,Sep 12
109,2,238 (98-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00238,Agreed to,"On the Amendment S.Amdt. 4911: Reed Amdt. No. 4911; To make available an additional $65,400,000 for additional appropriations for Aircraft Procurement, Air Force, for the procurement of Predators for Special Operations forces, and to designate the amount as an emergency requirement.",S.Amdt. 4911,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4911,H.R. 5631,http://hdl.loc.gov/loc.uscongress/legislation.109hr5631,Sep 07
109,2,236 (51-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=2&vote=00236,Agreed to,On the Motion to Table S.Amdt. 4909: Motion to Table Menendez Amdt. No. 4909; To prohibit the use of funds for a public relations program designed to monitor news media in the United States and the Middle East and create a database of news stories to promote positive coverage of the war in Iraq.,S.Amdt. 4909,http://hdl.loc.gov/loc.uscongress/legislation.109samdt4909,H.R. 5631,http://hdl.loc.gov/loc.uscongress/legislation.109hr5631,Sep 07
