congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
108,1,459 (54-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00459,Agreed to,"On the Conference Report: H.R. 1 Conference Report; An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.",[],H.R. 1,http://hdl.loc.gov/loc.uscongress/legislation.108hr1,Nov 25
108,1,458 (61-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00458,Agreed to,"On the Motion: Motion To Waive CBA RE: H. R. 1 - Conference Report; An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.",[],H.R. 1,http://hdl.loc.gov/loc.uscongress/legislation.108hr1,Nov 24
108,1,457 (70-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00457,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Conference Report to Accompany H.R. 1; An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.",[],H.R. 1,http://hdl.loc.gov/loc.uscongress/legislation.108hr1,Nov 24
108,1,456 (57-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00456,Rejected,"On the Cloture Motion: Motion To Invoke Cloture - H.R. 6 Conference Report; A bill to enhance energy conservation and research and development, to provide for security and diversity in the energy supply for the American people, and for other purposes.",[],H.R. 6,http://hdl.loc.gov/loc.uscongress/legislation.108hr6,Nov 21
108,1,455 (57-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00455,Rejected,"On the Cloture Motion: Motion To Invoke Cloture On The Nomination Of Thomas C. Dorr, Of Iowa, To Be A Member Of The Board Of Directors, Commodity Credit Corporation.",[],PN141,https://www.congress.gov/nomination/108th-congress/141,Nov 18
108,1,454 (57-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00454,Rejected,"On the Cloture Motion: Motion To Invoke Cloture On The Nomination Of Thomas C. Dorr, Of Iowa, To Be Under Secretary Of Agriculture.",[],PN140,https://www.congress.gov/nomination/108th-congress/140,Nov 18
108,1,453 (45-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00453,Rejected,"On the Cloture Motion: Motion To Invoke Cloture On H.R. 2115, Conference Report.; A bill to amend title 49, United States Code, to reauthorize programs for the Federal Aviation Administration, and for other purposes.",[],H.R. 2115,http://hdl.loc.gov/loc.uscongress/legislation.108hr2115,Nov 17
108,1,452 (53-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00452,Rejected,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Janice R. Brown, of California, to be U.S. Circuit Judge",[],PN839,https://www.congress.gov/nomination/108th-congress/839,Nov 14
108,1,451 (53-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00451,Rejected,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Carolyn B. Kuhl, of California, to be U.S. Circuit Judge",[],PN8,https://www.congress.gov/nomination/108th-congress/8,Nov 14
108,1,450 (53-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00450,Rejected,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Priscilla Richman Owen, of Texas, to be U.S. Circuit Judge",[],PN11,https://www.congress.gov/nomination/108th-congress/11,Nov 14
